title,artist,pop_today,track_id,url
All About That Bass,Meghan Trainor,71,5jE48hhRu8E6zBDPRSkEq7,https://open.spotify.com/track/5jE48hhRu8E6zBDPRSkEq7
Stolen Dance,Milky Chance,72,0ZfByLXCeKchuj7zi1CJ0S,https://open.spotify.com/track/0ZfByLXCeKchuj7zi1CJ0S
Classic,MKTO,80,6FE2iI43OZnszFLuLtvvmg,https://open.spotify.com/track/6FE2iI43OZnszFLuLtvvmg
Waves - Robin Schulz Radio Edit,Mr. Probz,75,1HFfMOxCAT4GAwaPfCdmUs,https://open.spotify.com/track/1HFfMOxCAT4GAwaPfCdmUs
Somebody,Natalie La Rose,63,7ioiB40H9xKs04QtIso2I3,https://open.spotify.com/track/7ioiB40H9xKs04QtIso2I3
Jealous - Remix,Nick Jonas,67,5NQJnRpJHRaupdegphntQT,https://open.spotify.com/track/5NQJnRpJHRaupdegphntQT
Anaconda,Nicki Minaj,58,794F99D5BQHS5ZGRXAs7I5,https://open.spotify.com/track/794F99D5BQHS5ZGRXAs7I5
Am I Wrong,Nico & Vinz,74,1fidCEsYlaVE3pHwKCvpFZ,https://open.spotify.com/track/1fidCEsYlaVE3pHwKCvpFZ
CoCo,O.T. Genasis,57,2JI71GHwq2LN8mtq3iCLYo,https://open.spotify.com/track/2JI71GHwq2LN8mtq3iCLYo
Gecko (Overdrive) - Radio Edit,Oliver Heldens,66,483XiZ5o13Cc1zoWV7jGml,https://open.spotify.com/track/483XiZ5o13Cc1zoWV7jGml
Wrapped Up (feat. Travie McCoy),Olly Murs,56,39lS97papXAI72StGRtZBo,https://open.spotify.com/track/39lS97papXAI72StGRtZBo
Post to Be (feat. Chris Brown & Jhene Aiko),Omarion,69,0fgZUSa7D7aVvv3GfO0A1n,https://open.spotify.com/track/0fgZUSa7D7aVvv3GfO0A1n
Night Changes,One Direction,89,5O2P9iiztwhomNh8xkR9lJ,https://open.spotify.com/track/5O2P9iiztwhomNh8xkR9lJ
Steal My Girl,One Direction,81,2Bs4jQEGMycglOfWPBqrVG,https://open.spotify.com/track/2Bs4jQEGMycglOfWPBqrVG
Counting Stars,OneRepublic,71,6sy3LkhNFjJWlaeSMNwQ62,https://open.spotify.com/track/6sy3LkhNFjJWlaeSMNwQ62
Love Runs Out,OneRepublic,59,5BJSZocnCeSNeYMj3iVqM7,https://open.spotify.com/track/5BJSZocnCeSNeYMj3iVqM7
Only Love Can Hurt Like This,Paloma Faith,76,62ke5zFUJN6RvtXZgVH0F8,https://open.spotify.com/track/62ke5zFUJN6RvtXZgVH0F8
Ain't It Fun,Paramore,71,1j8z4TTjJ1YOdoFEDwJTQa,https://open.spotify.com/track/1j8z4TTjJ1YOdoFEDwJTQa
High (feat. Nicole Millar),Peking Duk,41,40PYeQjt149YOfq6H20vmd,https://open.spotify.com/track/40PYeQjt149YOfq6H20vmd
"Happy - From ""Despicable Me 2""",Pharrell Williams,80,60nZcImufyMA1MKQY3dcCH,https://open.spotify.com/track/60nZcImufyMA1MKQY3dcCH
Me And My Broken Heart,Rixton,74,1oew3nFNY3vMacJAsvry0S,https://open.spotify.com/track/1oew3nFNY3vMacJAsvry0S
Stay With Me,Sam Smith,81,5Nm9ERjJZ5oyfXZTECKmRt,https://open.spotify.com/track/5Nm9ERjJZ5oyfXZTECKmRt
Money On My Mind,Sam Smith,62,5XX9oGZfgKMXdHnEp4t2JB,https://open.spotify.com/track/5XX9oGZfgKMXdHnEp4t2JB
Collard Greens,ScHoolboy Q,74,0zO8ctW0UiuOefR87OeJOZ,https://open.spotify.com/track/0zO8ctW0UiuOefR87OeJOZ
Man Of The Year,ScHoolboy Q,66,5SsR3wtCOafDmZgvIdRhSm,https://open.spotify.com/track/5SsR3wtCOafDmZgvIdRhSm
Geronimo,Sheppard,70,0qt5f5EL92o8Snzopsv0en,https://open.spotify.com/track/0qt5f5EL92o8Snzopsv0en
Chandelier,Sia,69,2s1sdSqGcKxpPr5lCl7jAV,https://open.spotify.com/track/2s1sdSqGcKxpPr5lCl7jAV
