title,artist,top_genre,year_released,added,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop,top_year,artist_type,pop_today,track_id,url,streams
Yes Indeed,Lil Baby,atl hip hop,2018,2020‑06‑22,120,35,96,-9,11,56,142,4,53,84,2018,Solo,75,6vN77lE9LK6HP2DewaN6HZ,https://open.spotify.com/track/6vN77lE9LK6HP2DewaN6HZ,1175612025.00
You & Me,Marc E. Bassy,pop,2017,2020‑06‑08,84,64,45,-8,19,61,218,4,28,69,2016,Solo,56,7yCqehT9dKACTFy7YugP0J,https://open.spotify.com/track/7yCqehT9dKACTFy7YugP0J,385067200.00
You Don't Own Me (feat. G-Eazy),SAYGRACE,dance pop,2015,2020‑06‑19,186,66,34,-6,6,29,199,17,10,60,2015,Solo,57,2CpH1L4CUR47RARB3PgY1l,https://open.spotify.com/track/2CpH1L4CUR47RARB3PgY1l,541895345.00
You Don't Own Me (feat. G-Eazy),SAYGRACE,dance pop,2015,2020‑06‑19,186,66,34,-6,6,29,199,17,10,60,2015,Solo,71,6KI1ZpZWYAJLvmVhCJz65G,https://open.spotify.com/track/6KI1ZpZWYAJLvmVhCJz65G,541895345.00
You Know You Like It,DJ Snake,dance pop,2014,2020‑06‑10,196,73,41,-5,31,25,247,1,19,75,2014,Solo,70,57kR5SniQIbsbVoIjjOUDa,https://open.spotify.com/track/57kR5SniQIbsbVoIjjOUDa,533565395.00
You Make It Easy,Jason Aldean,contemporary country,2018,2020‑06‑22,132,57,38,-5,11,41,197,14,3,74,2018,Solo,70,2TXtN9MoV308Y0z1HvyTfV,https://open.spotify.com/track/2TXtN9MoV308Y0z1HvyTfV,491479062.00
You Make Me Feel... (feat. Sabi),Cobra Starship,dance pop,2011,2020‑06‑16,132,86,67,-3,4,75,216,2,5,75,2011,Band/Group,69,16Of7eeW44kt0a1M0nitHM,https://open.spotify.com/track/16Of7eeW44kt0a1M0nitHM,307386829.00
You Need To Calm Down,Taylor Swift,pop,2019,2020‑06‑22,85,67,77,-6,6,71,171,1,6,81,2019,Solo,76,6RRNNciQGZEXnqk8SQ9yv5,https://open.spotify.com/track/6RRNNciQGZEXnqk8SQ9yv5,1009288451.00
Young Dumb & Broke,Khalid,pop,2017,2021‑01‑28,137,54,80,-6,17,39,203,20,4,84,2017,Solo,79,5Z3GHaZ6ec9bsiI5BenrbY,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,1642036504.00
Young Forever,JAY-Z,east coast hip hop,2009,2022‑02‑17,140,69,64,-3,21,10,254,42,7,71,2010,Solo,63,35srNkJVToAzYiZzron1FY,https://open.spotify.com/track/35srNkJVToAzYiZzron1FY,150081824.00
Youngblood,5 Seconds of Summer,boy band,2018,2020‑06‑22,120,85,60,-5,12,15,203,2,46,74,2018,Band/Group,79,2iUXsYOEPhVqEBwsqP70rE,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,1887815221.00
Your Love Is My Drug,Kesha,dance pop,2010,2022‑02‑17,120,61,83,-4,9,76,187,1,10,75,2010,Solo,70,6vc2Jq2vaGu8z326kSrw92,https://open.spotify.com/track/6vc2Jq2vaGu8z326kSrw92,267779169.00
ZEZE (feat. Travis Scott & Offset),Kodak Black,florida rap,2018,2020‑06‑22,98,60,86,-6,9,50,229,5,18,82,2019,Solo,74,0FZ4Dmg8jJJAPJnvBIzD9z,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z,1123585438.00
a lot,21 Savage,atl hip hop,2018,2020‑06‑22,146,64,84,-8,34,27,289,4,9,83,2019,Solo,77,2t8yVaLvJ0RenpXUIAC52d,https://open.spotify.com/track/2t8yVaLvJ0RenpXUIAC52d,1018540551.00
bad guy,Billie Eilish,art pop,2019,2020‑06‑22,135,43,70,-11,10,56,194,33,38,88,2019,Solo,81,2Fxmhks0bxGSBdJ92vM42m,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2634123321.00
